source	path	chr_col	start_col	end_col	ref_col	alt_col	frequency_fields	min_an	require_an	priority
Abraom	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_abraom.txt	1	2	3	4	5	abraom_freq	0	false	5
1000GP	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_ALL.sites.2015_08.txt	1	2	0	3	4	5	0	false	5
GME	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_gme.txt	1	2	3	4	5	GME_AF:global;GME_NWA:NWA;GME_NEA:NEA;GME_AP:AP;GME_Israel:Israel;GME_SD:SD;GME_TP:TP;GME_CA:CA	0	false	5
ExAC	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_exac03.txt	1	2	3	4	5	ExAC_ALL:ALL;ExAC_AFR:AFR;ExAC_AMR:AMR;ExAC_EAS:EAS;ExAC_FIN:FIN;ExAC_NFE:NFE;ExAC_OTH:OTH;ExAC_SAS:SAS	0	false	5
gnomad211_exome	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_gnomad211_exome_sorted.txt	1	2	3	4	5	gnomad211_exome:global;AF_popmax:popmax;AF_afr:AFR;AF_sas:SAS;AF_amr:AMR;AF_eas:EAS;AF_nfe:NFE;AF_fin:FIN;AF_asj:ASJ;AF_oth:OTH;non_topmed_AF_popmax:non_topmed_popmax;non_neuro_AF_popmax:non_neuro_popmax;non_cancer_AF_popmax:non_cancer_popmax;controls_AF_popmax:controls_popmax	0	false	5
gnomad211_genome	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_gnomad211_genome.txt	1	2	3	4	5	gnomad_Genome_AF:global;AF_popmax:popmax;AF_afr:AFR;AF_sas:SAS;AF_amr:AMR;AF_eas:EAS;AF_nfe:NFE;AF_fin:FIN;AF_asj:ASJ;AF_oth:OTH;non_topmed_AF_popmax:non_topmed_popmax;non_neuro_AF_popmax:non_neuro_popmax;non_cancer_AF_popmax:non_cancer_popmax;controls_AF_popmax:controls_popmax	0	false	5
gnomad41_exome	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_gnomad41_exome.txt	1	2	3	4	5	gnomad41_exome_AF:global;gnomad41_exome_AF_grpmax:grpmax;gnomad41_exome_AF_afr:AFR;gnomad41_exome_AF_amr:AMR;gnomad41_exome_AF_asj:ASJ;gnomad41_exome_AF_eas:EAS;gnomad41_exome_AF_fin:FIN;gnomad41_exome_AF_mid:MID;gnomad41_exome_AF_nfe:NFE;gnomad41_exome_AF_remaining:remaining;gnomad41_exome_AF_sas:SAS	0	false	5
gnomad41_genome	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_gnomad41_genome.txt	1	2	3	4	5	gnomad41_genome_AF:global;gnomad41_genome_AF_grpmax:grpmax;gnomad41_genome_AF_afr:AFR;gnomad41_genome_AF_ami:AMI;gnomad41_genome_AF_amr:AMR;gnomad41_genome_AF_asj:ASJ;gnomad41_genome_AF_eas:EAS;gnomad41_genome_AF_fin:FIN;gnomad41_genome_AF_mid:MID;gnomad41_genome_AF_nfe:NFE;gnomad41_genome_AF_remaining:remaining;gnomad41_genome_AF_sas:SAS	0	false	5
hrcr1	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_hrcr1.txt	1	2	3	4	5	HRC_AF:global:HRC_AC:HRC_AN;HRC_non1000G_AF:non1000G:HRC_non1000G_AC:HRC_non1000G_AN	0	false	5
Iranome	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_iranome.txt	1	2	3	4	5	Iranome_AF	0	false	5
Kaviar	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_kaviar.txt	1	2	3	4	5	Kaviar_AF	0	false	5
esp6500siv2_all	E:\NGSneeds\Annovar_Databases\hg19_databases\hg19_esp6500siv2_all.txt	1	2	3	4	5	6	0	false	5
